date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:42	2048/2048	---M-Z	200	added ('OK')	application/octet-stream	etag:%2265999b40-3f6%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.eot?	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slickd41d.eot	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
19:24:43	1380/1380	---M-Z	200	added ('OK')	application/octet-stream	etag:%2265999b42-54a%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.woff	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.woff	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
19:24:43	1892/1892	---M-Z	200	added ('OK')	application/octet-stream	etag:%2265999b41-3c6%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.ttf	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.ttf	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
19:24:43	2152/2152	---M-Z	200	added ('OK')	image/svg+xml	etag:%2265999b40-397%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.svg	C:/My%20Web%20Sites/fanduel/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.svg	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
19:24:44	894/894	---M--	200	added ('OK')	image/x-icon	etag:W/%2237e-190a27063e8%22	https://www.fanduel.com/watch/favicon.ico	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/favicon.ico	(from https://www.fanduel.com/watch)
19:24:46	6473/6473	---MCZ	200	added ('OK')	text/css	etag:W/%221949-190db6cd0aa%22	https://www.fanduel.com/watch/_next/static/css/a9666763fd10854c.css	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/css/a9666763fd10854c.css	(from https://www.fanduel.com/watch)
19:24:46	194278/194278	---MCZ	200	added ('OK')	text/css	etag:W/%222f6e6-190db6cd0aa%22	https://www.fanduel.com/watch/_next/static/css/3499ccd00b4b2f18.css	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/css/3499ccd00b4b2f18.css	(from https://www.fanduel.com/watch)
19:24:47	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-190db6cd0aa%22	https://www.fanduel.com/watch/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.fanduel.com/watch)
19:24:49	107275/107275	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a30b-190f9819ac4%22	https://www.fanduel.com/watch/_next/static/chunks/4168.1e802742540f2e16.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/4168.1e802742540f2e16.js	(from https://www.fanduel.com/watch)
19:24:49	137922/137922	---MCZ	200	added ('OK')	application/javascript	etag:W/%2221ac2-190fe2aa9a5%22	https://www.fanduel.com/watch/_next/static/chunks/de10f836.5b63222071b01494.js	C:/My%20Web%20Sites/fanduel/www.fanduel.com/watch/_next/static/chunks/de10f836.5b63222071b01494.js	(from https://www.fanduel.com/watch)
